wl,BG
300,12.13938083
301,13.2146927
302,12.89292863
303,12.31809254
304,12.12027101
305,11.95546664
306,10.94118837
307,11.56302631
308,12.06423152
309,12.2893409
310,12.360483
311,13.33825156
312,13.30159499
313,12.40614315
314,11.99833962
315,11.80424731
316,10.58960618
317,9.558148677
318,10.04802252
319,9.730875282
320,8.903579372
321,9.220242984
322,9.280672581
323,8.734261505
324,8.238231395
325,8.438741066
326,7.925183846
327,7.405557621
328,7.27185031
329,7.19547656
330,6.975391923
331,6.627691188
332,6.677084984
333,6.610562872
334,6.692798877
335,6.030638107
336,5.848041208
337,5.879834232
338,5.828684102
339,5.611420196
340,5.77190407
341,5.714063076
342,5.306441339
343,4.865401101
344,4.833949204
345,4.849488091
346,4.858234884
347,4.800951428
348,4.868976316
349,4.712826904
350,4.799137209
351,4.854035129
352,4.80512399
353,4.639262097
354,4.617310731
355,4.40945973
356,4.506738393
357,4.491478294
358,4.564483538
359,4.289003304
360,4.242484089
361,3.993226704
362,4.005732252
363,3.933118195
364,3.971175132
365,3.896117505
366,3.721996878
367,3.716984716
368,3.659666177
369,3.759239291
370,3.508976153
371,3.543647571
372,3.374145847
373,3.432523481
374,3.471705648
375,3.630005544
376,3.501743521
377,3.43472656
378,3.381544431
379,3.255866952
380,3.213704487
381,3.3064951
382,3.257337273
383,3.204612933
384,3.205961301
385,3.23849126
386,3.332434313
387,3.414311338
388,3.437340843
389,3.460915719
390,3.547503384
391,3.57498588
392,3.630059884
393,3.749936981
394,3.808554528
395,3.795605793
396,3.721802367
397,3.730659303
398,3.743836131
399,3.805978363
400,3.823423256
401,3.894832559
402,3.932372049
403,3.994918399
404,4.043343437
405,4.090911379
406,4.17801412
407,4.237005795
408,4.258563291
409,4.335707187
410,4.421276308
411,4.472297008
412,4.524956896
413,4.629818605
414,4.658239557
415,4.709523445
416,4.777614118
417,4.812873678
418,4.79902097
419,4.83400038
420,4.889654399
421,4.944826744
422,5.013743147
423,5.090494143
424,5.127049282
425,5.148708203
426,5.165938519
427,5.219461418
428,5.261252947
429,5.307849916
430,5.353667209
431,5.368985349
432,5.408410233
433,5.420654717
434,5.441493551
435,5.457662265
436,5.471591183
437,5.470261628
438,5.507836976
439,5.562165094
440,5.614748878
441,5.662102622
442,5.704278267
443,5.762737061
444,5.787048588
445,5.828218816
446,5.885527525
447,5.915902686
448,5.938176047
449,5.97061541
450,6.007787925
451,6.049752199
452,6.088836365
453,6.102516425
454,6.153689303
455,6.200583425
456,6.258798666
457,6.323825798
458,6.365321901
459,6.383413636
460,6.378457379
461,6.396573215
462,6.418864017
463,6.457680761
464,6.498162135
465,6.534344854
466,6.532901079
467,6.550387464
468,6.560497414
469,6.589072874
470,6.598341435
471,6.627892093
472,6.65187941
473,6.695092095
474,6.693997931
475,6.727581697
476,6.740151225
477,6.751803806
478,6.760420671
479,6.80560761
480,6.825060553
481,6.863577884
482,6.876105898
483,6.892040481
484,6.910156589
485,6.934364231
486,6.984485465
487,7.023418389
488,7.064154006
489,7.106283336
490,7.154080618
491,7.209801725
492,7.276775968
493,7.345938692
494,7.421600903
495,7.515967356
496,7.613309176
497,7.723844356
498,7.843704651
499,7.941841775
500,8.060010638
501,8.20176563
502,8.341101473
503,8.513685333
504,8.704062295
505,8.876852326
506,9.076401981
507,9.309224133
508,9.545744445
509,9.792292299
510,10.062804
511,10.31432054
512,10.5872357
513,10.87234199
514,11.16474899
515,11.47371044
516,11.80346452
517,12.1363941
518,12.48524695
519,12.84236266
520,13.20655263
521,13.5696356
522,13.90911233
523,14.26366466
524,14.62352183
525,14.96397042
526,15.29828387
527,15.63445052
528,15.89832427
529,16.18460895
530,16.47280191
531,16.73141792
532,16.96456858
533,17.19954098
534,17.39127876
535,17.56683013
536,17.73664535
537,17.89817233
538,18.05557233
539,18.18193945
540,18.30043328
541,18.42053963
542,18.51198982
543,18.59483833
544,18.69023931
545,18.76442674
546,18.8279177
547,18.9025174
548,18.97308585
549,19.03180248
550,19.08191353
551,19.12348144
552,19.1599928
553,19.18228797
554,19.20765096
555,19.2239051
556,19.23230924
557,19.21047022
558,19.1655984
559,19.0942398
560,19.01797887
561,18.93689691
562,18.83217064
563,18.72962603
564,18.62256756
565,18.47885285
566,18.33592347
567,18.17829441
568,18.01192844
569,17.8351165
570,17.66094923
571,17.47959526
572,17.30692549
573,17.12713401
574,16.94422236
575,16.77829249
576,16.61567868
577,16.45966789
578,16.30371892
579,16.16236686
580,16.01939606
581,15.91282133
582,15.81107093
583,15.72158354
584,15.61242692
585,15.52172124
586,15.43427813
587,15.34784468
588,15.27890286
589,15.22169356
590,15.15940059
591,15.09062513
592,15.05257878
593,15.01068052
594,14.97321127
595,14.93645796
596,14.91482882
597,14.88992021
598,14.87105259
599,14.87126664
600,14.84570802
601,14.80770205
602,14.79793249
603,14.77863099
604,14.74778645
605,14.71579611
606,14.67722192
607,14.62676758
608,14.58480201
609,14.52930461
610,14.48583837
611,14.41508605
612,14.35428498
613,14.28092202
614,14.22411845
615,14.15875103
616,14.10614521
617,14.05026188
618,13.99556475
619,13.96597797
620,13.92380251
621,13.87630766
622,13.84006762
623,13.80948509
624,13.79811136
625,13.79392976
626,13.800807
627,13.8136127
628,13.80249631
629,13.8023238
630,13.79408228
631,13.80429152
632,13.80947036
633,13.79347886
634,13.76328715
635,13.71664181
636,13.65450807
637,13.56655887
638,13.47943844
639,13.3831687
640,13.30048228
641,13.18618217
642,13.09114593
643,12.96758805
644,12.83156614
645,12.70630609
646,12.56782488
647,12.45958994
648,12.36709592
649,12.25139633
650,12.15965438
