wl,background
300,6.069690415
301,6.60734635
302,6.446464315
303,6.15904627
304,6.060135505
305,5.97773332
306,5.470594185
307,5.781513155
308,6.03211576
309,6.14467045
310,6.1802415
311,6.66912578
312,6.650797495
313,6.203071575
314,5.99916981
315,5.902123655
316,5.29480309
317,4.779074339
318,5.02401126
319,4.865437641
320,4.451789686
321,4.610121492
322,4.640336291
323,4.367130753
324,4.119115698
325,4.219370533
326,3.962591923
327,3.702778811
328,3.635925155
329,3.59773828
330,3.487695962
331,3.313845594
332,3.338542492
333,3.305281436
334,3.346399439
335,3.015319054
336,2.924020604
337,2.939917116
338,2.914342051
339,2.805710098
340,2.885952035
341,2.857031538
342,2.65322067
343,2.432700551
344,2.416974602
345,2.424744046
346,2.429117442
347,2.400475714
348,2.434488158
349,2.356413452
350,2.399568605
351,2.427017565
352,2.402561995
353,2.319631049
354,2.308655366
355,2.204729865
356,2.253369197
357,2.245739147
358,2.282241769
359,2.144501652
360,2.121242045
361,1.996613352
362,2.002866126
363,1.966559098
364,1.985587566
365,1.948058753
366,1.860998439
367,1.858492358
368,1.829833089
369,1.879619646
370,1.754488077
371,1.771823786
372,1.687072924
373,1.716261741
374,1.735852824
375,1.815002772
376,1.750871761
377,1.71736328
378,1.690772216
379,1.627933476
380,1.606852244
381,1.65324755
382,1.628668637
383,1.602306467
384,1.602980651
385,1.61924563
386,1.666217157
387,1.707155669
388,1.718670422
389,1.73045786
390,1.773751692
391,1.78749294
392,1.815029942
393,1.874968491
394,1.904277264
395,1.897802897
396,1.860901184
397,1.865329652
398,1.871918066
399,1.902989182
400,1.911711628
401,1.94741628
402,1.966186025
403,1.9974592
404,2.021671719
405,2.04545569
406,2.08900706
407,2.118502898
408,2.129311646
409,2.167853594
410,2.210638154
411,2.236248504
412,2.262818448
413,2.314909303
414,2.329119779
415,2.354876723
416,2.388962059
417,2.406566839
418,2.400070485
419,2.41770019
420,2.4465222
421,2.474433372
422,2.509161574
423,2.547407072
424,2.565994641
425,2.576724102
426,2.58492426
427,2.611715709
428,2.632601474
429,2.656639958
430,2.679533605
431,2.687497675
432,2.707190117
433,2.713102359
434,2.723756776
435,2.731771133
436,2.738885592
437,2.738320814
438,2.756993488
439,2.784957547
440,2.812669439
441,2.836316311
442,2.858559134
443,2.889508531
444,2.904459294
445,2.925049408
446,2.953183763
447,2.971021343
448,2.982603024
449,2.999207705
450,3.019318963
451,3.0418311
452,3.063228183
453,3.068913213
454,3.094579652
455,3.119376713
456,3.149159333
457,3.184317899
458,3.205700951
459,3.215881818
460,3.21462869
461,3.226761608
462,3.236962009
463,3.260730381
464,3.282871068
465,3.301197427
466,3.30022554
467,3.309658732
468,3.315748707
469,3.328651437
470,3.338550718
471,3.356711047
472,3.371294705
473,3.398991048
474,3.407603966
475,3.435825849
476,3.454675613
477,3.479336903
478,3.505140336
479,3.547553805
