wl,BG
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0.00006
409,0
410,0
411,0.0002
412,0.00068
413,0
414,0
415,0.00023
416,0.00031
417,0.00026
418,0.00112
419,0.0014
420,0.00339
421,0.00404
422,0.00458
423,0.00432
424,0.00494
425,0.00474
426,0.00391
427,0.00397
428,0.00395
429,0.00543
430,0.0054
431,0.00601
432,0.00597
433,0.00555
434,0.00602
435,0.00588
436,0.00618
437,0.00638
438,0.00615
439,0.00775
440,0.01059
441,0.01053
442,0.01284
443,0.01628
444,0.02187
445,0.02188
446,0.02084
447,0.02614
448,0.02703
449,0.0278
450,0.03085
451,0.03391
452,0.03762
453,0.03531
454,0.03547
455,0.03817
456,0.03952
457,0.04481
458,0.04608
459,0.04835
460,0.0508
461,0.05695
462,0.05506
463,0.06378
464,0.06758
465,0.06805
466,0.06755
467,0.06893
468,0.071
469,0.06823
470,0.07876
471,0.08553
472,0.09071
473,0.10289
474,0.12121
475,0.14407
476,0.1692
477,0.20687
478,0.24986
479,0.2895
480,0.33829
481,0.38076
482,0.42264
483,0.48209
484,0.5438
485,0.61488
486,0.6661
487,0.73399
488,0.7822
489,0.80206
490,0.8159
491,0.81826
492,0.82401
493,0.82607
494,0.83777
495,0.8549
496,0.8845
497,0.91814
498,0.96324
499,1.01484
500,1.08891
501,1.14878
502,1.2194
503,1.28359
504,1.35711
505,1.45138
506,1.538
507,1.65629
508,1.77149
509,1.89556
510,2.03869
511,2.16924
512,2.33888
513,2.51918
514,2.72773
515,2.94879
516,3.18364
517,3.43272
518,3.68494
519,3.94688
520,4.21544
521,4.51359
522,4.81957
523,5.11544
524,5.44395
525,5.75608
526,6.06932
527,6.35418
528,6.61658
529,6.87416
530,7.10235
531,7.33579
532,7.53397
533,7.7274
534,7.90031
535,8.05632
536,8.16279
537,8.25785
538,8.34869
539,8.42898
540,8.50258
541,8.55304
542,8.62204
543,8.68192
544,8.72765
545,8.7771
546,8.84408
547,8.88487
548,8.92567
549,8.95636
550,8.99481
551,9.0221
552,9.03398
553,9.04689
554,9.04581
555,9.02206
556,9.00018
557,8.95197
558,8.88073
559,8.81258
560,8.73652
561,8.63361
562,8.50919
563,8.37792
564,8.2315
565,8.06175
566,7.8856
567,7.70866
568,7.52804
569,7.34601
570,7.16823
571,6.99524
572,6.81325
573,6.63131
574,6.46
575,6.29509
576,6.12728
577,5.95713
578,5.81577
579,5.67431
580,5.54311
581,5.42925
582,5.31899
583,5.22062
584,5.11419
585,5.02647
586,4.93399
587,4.85181
588,4.76968
589,4.68928
590,4.61551
591,4.54085
592,4.47452
593,4.4076
594,4.35055
595,4.3047
596,4.26295
597,4.22092
598,4.1888
599,4.15957
600,4.12354
601,4.08925
602,4.05036
603,4.00994
604,3.96151
605,3.92754
606,3.88865
607,3.83414
608,3.7809
609,3.72405
610,3.66537
611,3.59019
612,3.52359
613,3.45104
614,3.3914
615,3.3198
616,3.25359
617,3.18852
618,3.13441
619,3.07679
620,3.02579
621,2.97035
622,2.92361
623,2.88841
624,2.84993
625,2.81631
626,2.80477
627,2.79833
628,2.78973
629,2.76874
630,2.76716
631,2.74705
632,2.72536
633,2.69755
634,2.67021
635,2.63374
636,2.58579
637,2.53047
638,2.46124
639,2.38077
640,2.31493
641,2.24621
642,2.18641
643,2.10969
644,2.043
645,1.97636
646,1.91322
647,1.86684
648,1.81369
649,1.76841
650,1.73701
651,1.72302
652,1.74797
653,1.77064
654,1.81536
655,1.8506
656,1.8765
657,1.88327
658,1.87245
659,1.84917
660,1.80489
661,1.75246
662,1.69513
663,1.64917
664,1.63364
665,1.63528
666,1.66903
667,1.71517
668,1.76373
669,1.81879
670,1.88697
671,1.96041
672,2.02818
673,2.11284
674,2.22524
675,2.33555
676,2.46448
677,2.59719
678,2.74643
679,2.88768
680,3.02659
681,3.18871
682,3.3369
683,3.49515
684,3.62211
685,3.73057
686,3.82452
687,3.94386
688,4.05023
689,4.17669
690,4.35495
691,4.59131
692,4.87179
693,5.2437
694,5.68402
695,6.22359
696,6.83948
697,7.56798
698,8.36571
699,9.26011
700,10.26576
