Onde,largegap
300,0.033571019
301,0
302,0
303,0
304,0.002664639
305,0.29373014
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0.027646662
315,0.025034524
316,0.091627204
317,0.077086313
318,0.073584941
319,0.012662296
320,0
321,0
322,0
323,0
324,0
325,0.019268391
326,0.251578132
327,0.30403062
328,0.37262924
329,0.446561271
330,0.483463592
331,0.459151409
332,0.438389738
333,0.443404985
334,0.428253397
335,0.472701126
336,0.648528245
337,0.683539302
338,0.602719014
339,0.649213132
340,0.738389056
341,0.72422432
342,0.640828989
343,0.928702452
344,1.030971222
345,1.056628429
346,1.107758314
347,1.103625599
348,1.047026466
349,1.018419477
350,0.948424858
351,1.084011638
352,1.159525085
353,1.15377827
354,1.073663758
355,1.037959307
356,0.993457748
357,0.798460033
358,0.848558404
359,0.92198582
360,0.953725159
361,1.001343251
362,1.037287103
363,1.129674625
364,1.060080565
365,1.150931994
366,1.198108717
367,1.237874827
368,1.317533415
369,1.363580411
370,1.541918225
371,1.55940445
372,1.603359799
373,1.573611243
374,1.588122878
375,1.741602631
376,1.708138721
377,1.69651453
378,1.701314349
379,1.748810622
380,1.709762972
381,1.569386539
382,1.596383728
383,1.625417252
384,1.602566547
385,1.584417454
386,1.56059967
387,1.549329462
388,1.575208029
389,1.615054715
390,1.692534673
391,1.746180605
392,1.776427728
393,1.739858588
394,1.734679414
395,1.716446002
396,1.852649571
397,1.980300337
398,2.194581886
399,2.422271817
400,2.6454002
401,2.784344764
402,2.944545956
403,2.987374359
404,3.108449563
405,3.164833685
406,3.157586551
407,3.136408216
408,3.086576616
409,3.245998135
410,3.324999999
411,3.385021608
412,3.431082601
413,3.477588213
414,3.47938122
415,3.364781904
416,3.278997519
417,3.214076013
418,3.292647841
419,3.316860012
420,3.321448504
421,3.305283846
422,3.313278703
423,3.317260873
424,3.229265181
425,3.170131425
426,3.133321724
427,3.21663965
428,3.197991572
429,3.243024528
430,3.241546045
431,3.272949311
432,3.291818478
433,3.223184884
434,3.314480265
435,3.416634631
436,3.470449039
437,3.541085938
438,3.60562091
439,3.659566113
440,3.68102683
441,3.706803675
442,3.788996322
443,3.829929122
444,3.899464802
445,3.944847798
446,3.998895149
447,4.033790649
448,4.083815982
449,4.101456628
450,4.096418378
451,4.141352732
452,4.190961579
453,4.223984641
454,4.212721978
455,4.312183475
456,4.452604012
457,4.443332522
458,4.370130004
459,4.389483507
460,4.416808416
461,4.330296221
462,4.239000136
463,4.259434828
464,4.247902275
465,4.223022333
466,4.188710226
467,4.170343554
468,4.174499536
469,4.172194368
470,4.202108369
471,4.209043535
472,4.22661515
473,4.239935272
474,4.236740922
475,4.257953658
476,4.244010774
477,4.279787749
478,4.316755555
479,4.343321754
480,4.364723166
481,4.369860539
482,4.386826838
483,4.37464973
484,4.344501392
485,4.34006349
486,4.316406374
487,4.312033979
488,4.306310379
489,4.319770014
490,4.360765247
491,4.410804878
492,4.463876408
493,4.495655331
494,4.517291725
495,4.532117832
496,4.520188117
497,4.5099869
498,4.479675598
499,4.449093364
