wl,u,s,m,l,dc
300,0.003447565,0,0,0,0
301,0.004090412,0,0,0,0
302,0.005091378,0,0,0,0
303,0.006624608,0,0,0,0
304,0.008993683,0,0,0,0
305,0.012571947,0,0,0,0
306,0.01790632,0,0,0,0
307,0.025995513,0,0,0,0
308,0.038055857,0,0,0,0
309,0.054991551,0,0,0,0
310,0.077447619,0,0,0,0
311,0.105080867,0,0,0,0
312,0.13592642,0,0,0,0
313,0.167990498,0,0,0,0
314,0.199259916,0,0,0,0
315,0.22850805,0,0,0,0
316,0.254869847,0,0,0,0
317,0.277783759,0,0,0,0
318,0.297631658,0,0,0,0
319,0.314430003,0,0,0,0
320,0.328606927,0,0,0,0
321,0.340883091,0,0,0,0
322,0.352037026,0,0,0,0
323,0.362606956,0,0,0,0
324,0.372365471,0,0,0,0
325,0.381499084,0,0,0,0
326,0.390469494,0,0,0,0
327,0.399288066,0,0,0,0
328,0.407847968,0,0,0,0
329,0.416192651,0,0,0,0
330,0.424654071,0,0,0,0
331,0.433524969,0,0,0,0
332,0.442180713,0,0,0,0
333,0.450430721,0,0,0,0
334,0.45851499,0,0,0,0
335,0.466520672,0,0,0,0
336,0.474972993,0.003802671,0,0,0
337,0.483421983,0.00623179,0,0,0
338,0.491963218,0.008682522,0,0,0
339,0.501033914,0.011161649,0,0,0
340,0.510322986,0.013664277,0,0,0
341,0.519946566,0.016193583,0,0,0
342,0.52957978,0.018739597,0,0,0
343,0.539451425,0.02130932,0,0,0
344,0.549752731,0.023912503,0,0,0
345,0.560308032,0.026545082,0,0,0
346,0.57107696,0.029207775,0,0,0
347,0.581473895,0.031871493,0,0,0
348,0.591759769,0.03454894,0,0,0
349,0.601960762,0.037243009,0,0,0
350,0.611945729,0.039947613,0,0,0
351,0.621966487,0.042682125,0,0,0
352,0.631723575,0.045430566,0,0,0
353,0.641094286,0.048187257,0,0,0
354,0.650484818,0.050987382,0,0,0
355,0.658900933,0.053758052,0,0,0
356,0.665837422,0.056456057,0,0,0
357,0.672602531,0.059192184,0,0,0
358,0.679370752,0.06199144,0,0,0
359,0.685907421,0.064843295,0,0,0
360,0.691856917,0.06772316,0,0,0
361,0.696994953,0.070615731,0,0,0
362,0.701655005,0.073561681,0,0,0
363,0.705671538,0.076552867,0,0,0
