"","Adelomyia melanogenys","Aglaeactis cupripennis","Aglaiocercus coelestis","Aglaiocercus kingi","Amazilia amabilis","Amazilia amazilia","Amazilia fimbriata","Amazilia franciae","Amazilia grayi","Amazilia rosenbergi","Amazilia sapphirina","Amazilia tzacatl","Androdon aequatorialis","Anthracothorax nigricollis","Avocettula recurvirostris","Boissonneaua flavescens","Boissonneaua matthewsii","Calliphlox amethystina","Calliphlox mitchellii","Campylopterus falcatus","Campylopterus largipennis","Campylopterus villaviscensio","Chaetocercus bombus","Chaetocercus mulsant","Chalcostigma herrani","Chalcostigma ruficeps","Chalcostigma stanleyi","Chalybura buffonii","Chalybura urochrysia","Chlorestes notata","Chlorostilbon melanorhynchus","Chlorostilbon mellisugus","Chrysuronia oenone","Coeligena coeligena","Coeligena iris","Coeligena lutetiae","Coeligena torquata","Coeligena wilsoni","Colibri coruscans","Colibri delphinae","Colibri thalassinus","Damophila julie","Discosura conversii","Discosura langsdorffi","Discosura popelairii","Doryfera johannae","Doryfera ludovicae","Ensifera ensifera","Eriocnemis alinae","Eriocnemis luciani","Eriocnemis mosquera","Eriocnemis nigrivestis","Eriocnemis vestita","Eutoxeres aquila","Eutoxeres condamini","Florisuga mellivora","Glaucis aeneus","Glaucis hirsutus","Haplophaedia aureliae","Haplophaedia lugens","Heliangelus amethysticollis","Heliangelus exortis","Heliangelus micraster","Heliangelus strophianus","Heliangelus viola","Heliodoxa aurescens","Heliodoxa imperatrix","Heliodoxa jacula","Heliodoxa leadbeateri","Heliodoxa rubinoides","Heliodoxa schreibersii","Heliomaster longirostris","Heliothryx auritus","Heliothryx barroti","Klais guimeti","Lafresnaya lafresnayi","Lesbia nuna","Leucippus baeri","Leucippus chlorocercus","Lophornis chalybeus","Metallura baroni","Metallura tyrianthina","Metallura williami","Myrmia micrura","Ocreatus underwoodii","Opisthoprora euryptera","Oreotrochilus chimborazo","Patagona gigas","Phaethornis atrimentalis","Phaethornis bourcieri","Phaethornis griseogularis","Phaethornis guy","Phaethornis hispidus","Phaethornis longirostris","Phaethornis malaris","Phaethornis ruber","Phaethornis syrmatophorus","Phaethornis yaruqui","Phlogophilus hemileucurus","Polytmus theresiae","Pterophanes cyanopterus","Ramphomicron microrhynchum","Schistes geoffroyi","Taphrospilus hypostictus","Thalurania fannyi","Thalurania furcata","Thaumastura cora","Threnetes leucurus","Threnetes ruckeri","Urochroa bougueri","Urosticte benjamini","Urosticte ruficrissa"
"BA","BA","BA","BA","BA","BA","BA","CR","BA","BA","CR","BA","BA","BA","BA","CR","BA","BA","BA","CR","CR","CR","BA","BA","CR","BA","BA","BA","CR","BA","CR","BA","BA","BA","BA","BA","BA","BA","CR","CR","BA","BA","BA","BA","BA","BA","BA","BA","BA","CR","BA","BA","CR","BA","BA","BA","BA","BA","BA","BA","BA","CR","BA","CR","BA","BA","CR","BA","BA","BA","CR","CR","BA","CR","BA","BA","BA","CR","BA","BA","BA","BA","CR","CR","BA","CR","CR","BA","BA","BA","BA","BA","BA","BA","BA","CR","CR","BA","BA","CR","BA","CR","CR","BA","CR","BA","BA","BA","BA","BA","CR","BA","BA"
"BE","TH","BR","TH","TH","BE","BR","BE","BR","TH","BE","BR","BE","TH","TH","BE","BR","BR","BE","BR","BE","TH","BR","BR","TH","BR","BR","BR","BR","BR","TH","BR","BR","BE","BE","BE","TH","BR","BR","BR","TH","BR","BR","BR","BE","BR","TH","TH","BR","BR","TH","BR","TH","TH","TH","TH","BE","TH","BE","TH","BR","BE","BR","BE","BR","BR","BE","BR","BE","BE","BR","BR","BR","TH","TH","BE","BR","BE","BE","TH","BR","BR","BR","BR","NE","BR","TH","BR","TH","TH","BE","TH","BE","BR","BR","BE","TH","TH","BR","BE","TH","TH","BR","TH","TH","BR","BE","BR","BR","BE","BR","BR","BR"
"BE2","TH","BR","TH","TH","BE","BR","BE","BR","TH","BE","BE2","BE","TH2","TH","BE","BR2","BR","BE","BE2","BE","TH","BR","BR","TH","BR","BR","BR","BR","BR","BE2","BR","BR","BE","BE","BE","TH","BR","BE2","SB","TH","BR","BR","BE2","BE","BE2","TH","TH","BR","BE2","BE2","BE2","TH","BE2","TH2","TH2","TH2","TH","BE","BE2","BR","BE","BR","BE","BR","BR","BE","BR","BE","BE2","TH2","BR","BR2","TH","TH","BE","BR","BR","BE","TH","BR","BR","BR2","BR","NE","BR","TH2","BE2","TH","TH","BE","TH","BE","BR","BR","BE","TH","TH","BR","BE2","DQ","TH","BR2","BE2","CH","BR","BR","BR","BR","BE","BR","BR","BR"
"BE3","TH","BR","TH","TH","BE","BR","BE","BR","TH","BE","BR","BE","TH","TH","BE","BR","BR","BE","BR","BE","TH","BR","BR","TH","BR","BR","BR","BR","BR","TH","BR","BR","BE","BE","BE","TH","BR","BR","BR","TH","BR","BR","BR","BE","BR","TH","TH","BR","BR","TH","BR","TH","TH","TH","TH","BE","TH","BE","TH","BR","BE","BR","BE","BR","BR","BE","BR","BE","BE","BR","BR","BE3","TH","TH","BE","BR","BE3","BE","TH","BR","BR","BR3","BR","NE","BR","TH","BR","TH","TH","BE","TH","BE","BR","BR","BE","TH","TH","BR","BE","TH","TH","BE3","TH","TH","BR","BE","BR","BR","BE","BR","BR","BR"
"BR","TH","BR","TH","TH","BR","BR","TH","BR","TH","BR","BR","BR","TH","TH","BR","BR","BR","BR","BR","BR","TH","BR","BR","TH","BR","BR","BR","BR","BR","TH","BR","BR","BR","BE","CHI","TH","BR","BR","BR","TH","BR","BR","BR","BR","BR","TH","TH","BR","BR","TH","BR","TH","TH","TH","TH","TH","TH","BR","TH","BR","BR","BR","BR","BR","BR","BR","BR","TH","TH","BR","BR","BR","TH","TH","BR","BR","BR","TH","TH","BR","BR","BR","BR","NE","BR","TH","BR","TH","TH","BR","BR","TH","BR","BR","TH","TH","TH","BR","TH","TH","TH","BR","TH","TH","BR","BR","BR","BR","BR","BR","BR","BR"
"BR2","TH","BR","TH","TH","BR","BR","TH","BR","TH","BR","BR","BR","TH2","TH","BR","BR2","BR","BR","BR","BR","TH","BR","BR","TH","BR","BR","BR","BR","BR","TH","BR","BR","BR","BE","CHI","TH","BR","BR","SB","TH","BR","BR","BR","BR","BR","TH","TH","BR","BR","TH","BR","TH","TH","TH2","TH2","TH","TH","BR","TH","BR","BR","BR","BR","BR","BR","BR","BR","TH","TH","TH2","BR","BR2","TH","TH","BR","BR","BR","TH","TH","BR","BR","BR2","BR","NE","BR","TH2","BR","TH","TH","BR","BR","TH","BR","BR","TH","BR2","BR2","BR","TH","TH","TH","BR2","TH","CH","BR","BR","BR","BR","BR","BR","BR","BR"
"CH","CH","CH","BA","BA","CHI","CHI","TH","CR","CR","CH","BA","TH","TH","CR","CR","TH","TH","?","CR","?","TH","CH","NE","CR","BA","TH","CR","TH","TH","TH","TH","NAP","CR","CH","CHI","TH","CHI","CR","CH","CH","CH","CR","TH","TH","CH","CR","CR","CR","CHI","TH","TH","WM","CH","TH","TH","TH","?","CH","TH","CR","CR","CR","CR","CR","CR","TH","TH","TH","TH","TH","CHI","CH","CH","CH","CH","TH","CR","TH","CR","FH","CH","CH","BA","NE","CH","? (SB)","CR","CHI","CH","CH","CH","CH","CH","CH","CH","CH","CH","CH","CR","TH","TH","CH","CH","CH","CR","TH","TH","CH","CH","CR","CHI","TH"
"CHI","TH","CHI","CHI","CHI","CHI","CHI","TH","CHI","CR","CHI","CHI","TH","TH","TH","TH","TH","TH","TH","TH","TH","TH","TH","TH","CHI","CHI","CHI","CHI","TH","TH","CHI","TH","TH","CR","TH","CHI","TH","CHI","CHI","CH","CHI","TH","CR","TH","TH","TH","TH","TH","TH","CHI","TH","CHI","CHI","CHI","TH","TH","TH","TH","TH","TH","TH","TH","CHI","CHI","CHI","TH","CHI","TH","CHI","TH","TH","CHI","TH","TH","TH","TH","TH","TH","TH","TH","CHI","TH","CHI","TH","TH","TH","TH","CR","CHI","CHI","TH","CHI","CHI","CHI","CHI","TH","TH","CHI","CHI","CHI","TH","TH","TH","TH","TH","CR","TH","TH","CHI","CHI","TH","CHI","TH"
"CHI2","TH2","CHI2","CHI","CHI","CHI","CHI","TH","CHI","TH","CHI2","CHI","TH","TH2","TH","TH","TH","TH2","TH","TH","TH","TH","TH","TH","TH","CHI","CHI2","CHI","TH","TH","CHI","TH","TH","CR","TH2","CHI","CHI2","CHI","CHI","CH","CHI","TH","CR","TH","TH","TH","TH","TH","TH","CHI","TH","CHI","CHI","CHI","TH2","TH2","TH","TH","TH","TH","TH","TH","CHI","CHI","TH","TH","CHI","CHI2","CHI","TH","CHI2","CHI","TH","TH","TH","TH","TH","TH","TH","SB","CHI2","TH","CHI","TH","TH","TH","TH2","CR","CHI","CHI","TH","CHI","CHI","CHI","CHI","TH","TH","CHI2","CHI","CHI2","TH","TH","TH","TH","CH","CR","TH","TH","CHI","CHI","TH","CHI","TH"
"CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","BA","CR","CR","CR","CR","CR","CR","FH","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","BA","CR","BA","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","BA","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","CR","BA","CR","CR","CR"
