B1,B2,B3,S1.UV,S1.violet,S1.blue,S1.green,S1.yellow,S1.red,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,Type,Species,Exp,SpeciesType
1032.3361961185,2.5744044791,4.5278740668,0.1371362406,0.1584178713,0.2402019858,0.2949389793,0.2318321173,0.3351455417,Inf,0.1912049527,0.06969331,230.8895553798,4.5278740668,-0.3128959471,1.758804455,-0.5622023769,0.1225769041,700,345,459,0.889504677,311,0.1485177766,0.2272779796,0.3098594463,0.3143447975,-0.1014822234,-0.0227220204,0.0598594463,0.0643447975,0.0533173193,0.0276111465,-0.1014822234,0.4778368498,-1.0365345789,0.117914179,0.2904798868,0.4059288935,Directionnel,BOUFUL,irid,BOUFUL_Directionnel
8049.1001204736,20.072568879,55.8666639777,0.161341273,0.1737804409,0.2336889245,0.4754774823,0.2398944173,0.1381548001,9.3505413016,0.5508564073,0.9653331461,2908.7904688008,49.8919655965,-0.2239704279,2.485579494,-0.2912241448,2.3994122727,532,569,489,-1.4864153349,493,0.1319279451,0.1914454679,0.5153467846,0.1612798024,-0.1180720549,-0.0585545321,0.2653467846,-0.0887201976,-0.0184726221,0.2396979908,-0.1180720549,1.647710534,-0.4565268252,0.2678383369,0.567107808,0.4722882195,Directionnel,BOUFUL,irid,BOUFUL_Directionnel
12220.629657229,30.4753856789,85.485097176,0.1393742084,0.1519040345,0.2544601289,0.4653560422,0.2272720826,0.1496189918,9.0052605865,0.5551991676,1.4900854715,4610.0018582018,75.9923016755,-0.2184784995,2.4935632473,-0.2617387442,3.7156223671,529,568,486,-1.4711062663,493,0.1173893174,0.2127727644,0.5094480783,0.1603898399,-0.1326106826,-0.0372272356,0.2594480783,-0.0896101601,-0.0320778591,0.2283012868,-0.1326106826,1.7103891875,-0.5219906354,0.2659625157,0.5013972298,0.5304427306,Directionnel,BOUFUL,irid,BOUFUL_Directionnel
29780.9957799674,74.2668223939,262.1658967325,0.1369951922,0.145210004,0.2248727574,0.5773148385,0.2630286772,0.0697118415,20.1680859962,0.6703829586,5.7035886519,15016.1024880062,249.1668497837,-0.3062633827,3.3550223606,-0.080819994,19.135667463,536,569,493,-1.4033222213,494,0.102224594,0.1727345189,0.6150205399,0.1100203473,-0.147775406,-0.0772654811,0.3650205399,-0.1399796527,-0.03840443,0.3349162527,-0.147775406,1.6849664206,-0.4131306747,0.3680779363,0.622698232,0.5911016241,Directionnel,BOUFUL,MAX,BOUFUL_Directionnel
2449.8400761951,6.1093268733,13.4129750599,0.1145998509,0.1311066943,0.2426727998,0.4131056363,0.2481195502,0.2382279251,Inf,0.4642612903,0.1721008743,827.3703688825,13.4129750599,-0.2016264153,2.1954914736,-0.5215206203,0.3778460022,530,569,691,1.4049093517,481,0.1191932189,0.2062890853,0.4394098951,0.2351078008,-0.1308067811,-0.0437109147,0.1894098951,-0.0148921992,0.017647787,0.1546523509,-0.1308067811,1.4571751723,-0.6988697085,0.2033204564,0.3885892892,0.5232271245,Directionnel,BOUFUL,MIN,BOUFUL_Directionnel
922.8735784811,2.3014303703,3.6843067377,0.2246790599,0.2519031642,0.2551491476,0.234141851,0.1792701401,0.2927588547,2.348092742,0.1744387941,0.0195095389,73.6962638246,2.1152431859,-0.0698340369,0.9190993624,-0.4310246077,0.0179312048,700,356,641,0.3172554783,699,0.2177254256,0.2524270027,0.262027529,0.2678200427,-0.0322745744,0.0024270027,0.012027529,0.0178200427,0.0094262734,0.0013463358,-0.0322745744,0.1418684919,-1.2839063043,0.0336498946,0.2606532787,0.1290982976,Directionnel,DAMJUL,irid,DAMJUL_Directionnel
15959.3798122592,39.7989521503,135.0906329217,0.1088957094,0.1205791464,0.1940613293,0.6367496316,0.3787140535,0.0687492741,20.9393885871,0.6669948159,2.959571145,8982.1926355609,128.6391249247,-0.317365737,3.2322239148,1.0414299132,9.5659966323,551,593,504,-1.4551460916,506,0.0827357064,0.1444557017,0.6012715793,0.1715370126,-0.1672642936,-0.1055442983,0.3512715793,-0.0784629874,0.0165838483,0.3134429155,-0.1672642936,1.5179369419,-0.4896122933,0.355666739,0.5315939393,0.6690571745,Directionnel,DAMJUL,irid,DAMJUL_Directionnel
10357.1424420615,25.8282853917,84.9293817209,0.1065223007,0.1184314906,0.2116900405,0.6120091057,0.3517839638,0.0782287269,14.2557871008,0.648654829,1.7214653092,5650.3063438592,78.9718445382,-0.2931327082,3.0575720897,0.7113955308,5.2635042827,549,593,501,-1.4385320006,506,0.0822297933,0.1616308948,0.5922884292,0.1638508826,-0.1677702067,-0.0883691052,0.3422884292,-0.0861491174,0.0013594593,0.3037359787,-0.1677702067,1.5663205638,-0.5046455382,0.3469931342,0.5170660825,0.6710808268,Directionnel,DAMJUL,irid,DAMJUL_Directionnel
21213.8034224324,52.9022529238,184.8523438482,0.1101446394,0.121315291,0.1764440993,0.6552469479,0.4036735872,0.0665540621,26.8212858481,0.6759583395,4.1863709105,12167.381577733,177.9603422904,-0.3091165687,3.3639463814,1.1369702672,14.0827272756,556,593,594,-1.4813743054,518,0.0817215135,0.129336114,0.6062537267,0.1826886458,-0.1682784865,-0.120663886,0.3562537267,-0.0673113542,0.0326716199,0.3183687095,-0.1682784865,1.4685323572,-0.4840765572,0.3615850093,0.5371824659,0.6731139458,Directionnel,DAMJUL,MAX,DAMJUL_Directionnel
1488.0570095333,3.7108653604,7.3218406207,0.1452302965,0.1659902995,0.2815024386,0.3728829305,0.2190398922,0.2081996084,3.9824495247,0.427947481,0.0987438863,388.6865764988,5.4833137103,-0.1686739661,1.477637472,-0.1766402459,0.1459076666,532,580,476,-1.4949212053,493,0.1288219291,0.256270706,0.4110438602,0.2038635047,-0.1211780709,0.006270706,0.1610438602,-0.0461364953,-0.0320927255,0.1279698906,-0.1211780709,1.8165121805,-0.7429339138,0.1791378262,0.369575586,0.4847122834,Directionnel,DAMJUL,MIN,DAMJUL_Directionnel
