idComm,CommunityName,LatDecDeg,LongDecDeg
26,Alder forest,-0.356858864,-78.07291365
30,Acanama,-3.7,-79.23333333
31,River Maspa chico,-0.409468956,-78.03355878
32,Bosque Protector Cerro Blanco,-2.2,-80.03333333
34,Canelos,-1.533333333,-77.75
35,Cascada de San Rafael,-0.05,-77.53333333
36,Centro Cientifico Rio Palenque,-0.5,-79.5
37,Cerro Mungus,0.44088729,-77.86355501
38,Cerro Mutiles,0.9,-79.61666667
39,Cabeceras de Blisa,0.616666667,-79.85
40,Parque Nacional Machalilla,-1.541666667,-80.70833333
43,Reserva Ecologica Arenillas,-3.516666667,-80.05
44,Cerro Achi,-1.333333333,-80.65
49,Mindo Lindo,-0.016666667,-78.76666667
50,Oyacachi,-0.216666667,-78.03333333
51,Palanda,-4.65,-79.15
52,Papallacta Pass,-0.333333333,-78.2
53,Parque National Cotopaxi,-0.666666667,-78.36666667
55,Reserva Bosque Pertificado de Puyango,-3.866666667,-80.16666667
56,Reserva Jatun Sacha,-1.066666667,-77.6
57,Reserva Jaunche,-1.333333333,-79.58333333
59,Shishico camp,-0.196936642,-77.47832828
60,Sozoranga,-4.35,-79.78333333
61,Tandayapa Pass and Bellavista Lodge,-0.016666667,-78.7
62,Tinalandia,-0.3,-79.16666667
127,Achiral - Pozul,-4.02527,-79.90005
128,Alamor,-4.01587,-80.03192
129,Angashcola,-4.56371,-79.36314
131,Bilsa,0.36666,-79.75006
132,Bombuscaro2,-4.13329,-78.96675
133,Bosque Protector Aguarongo,-2.97591,-78.8523
136,Campo Verde,-3.83327,-80.1667
137,Celica,-3.94996,-79.80005
138,Cerro San Bartolo,-4.56662,-79.36673
139,Cubil�n,-2.68712,-78.86888
140,Cuenca,-2.88049,-78.98122
141,El Angolo,-4.35539,-80.81769
142,El Chorro,-3.13063,-79.16564
143,El Labrado,-2.72165,-79.07512
144,El Limo,-3.96787,-80.14465
146,Frailejones,-4.34408,-80.38793
