"","Species","Subspecies","TrueName","ShortName6","ShortName8","Sensitivity","Strata","Habitat","SimpleHab","SimpleStrata"
"1","Doryfera johannae",NA,"Doryfera johannae","DORJOH","DORYJOHA","M","U/M","F4,F1","F","U"
"2","Doryfera ludovicae",NA,"Doryfera ludovicae","DORLUD","DORYLUDO","M","U/M","F4,F1","F","U"
"3","Androdon aequatorialis",NA,"Androdon aequatorialis","ANDAEQ","ANDRAEQU","M","U/M","F4,F1","F","U"
"4","Ramphodon naevius",NA,"Ramphodon naevius","RAMNAE","RAMPNAEV","M","U","F1,F15","F","U"
"5","Glaucis aenea",NA,"Glaucis aeneus","GLAAEN","GLAUAENE","H","U","F1,F15","F","U"
"6","Glaucis dohrnii",NA,"Glaucis dohrnii","GLADOH","GLAUDOHR","H","U","F1","F","U"
"7","Glaucis hirsuta",NA,"Glaucis hirsutus","GLAHIR","GLAUHIRS","L","U","F1,F15,F2","F","U"
"8","Threnetes leucurus",NA,"Threnetes leucurus","THRLEU","THRELEUC","M","U","F1,F2,F3","F","U"
"9","Threnetes loehkeni",NA,"Threnetes leucurus loehkeni","THRLEU","THRELEUC","H","U?","F1","F","U"
"10","Threnetes niger",NA,"Threnetes niger","THRNIG","THRENIGE","?","U?","F1?","F","U"
"11","Threnetes ruckeri",NA,"Threnetes ruckeri","THRRUC","THRERUCK","H","U","F1,F15","F","U"
"12","Phaethornis anthophilus",NA,"Phaethornis anthophilus","PHAANT","PHAEANTH","L","U","F1,F15","F","U"
"13","Phaethornis augusti",NA,"Phaethornis augusti","PHAAUG","PHAEAUGU","M","U","F4,F1,F7,F15","F","U"
"14","Phaethornis bourcieri",NA,"Phaethornis bourcieri","PHABOU","PHAEBOUR","H","U/M","F1,F4","F","U"
"15","Phaethornis eurynome",NA,"Phaethornis eurynome","PHAEUR","PHAEEURY","M","U","F4,F1","F","U"
"16","Phaethornis gounellei",NA,"Anopetia gounellei","PHAGOU","PHAEGOUN","?","U?","F7,F4","F","U"
"17","Phaethornis griseogularis","griseogularis","Phaethornis griseogularis","PHAGRI","PHAEGRIS","M","U","F4,F15","F","U"
"18","Phaethornis griseogularis","porcullae","Phaethornis griseogularis","PHAGRI","PHAEGRIS","M","U","F7,F4","F","U"
"19","Phaethornis guy",NA,"Phaethornis guy","PHAGUY","PHAEGUYI","M","U","F4","F","U"
"20","Phaethornis hispidus",NA,"Phaethornis hispidus","PHAHIS","PHAEHISP","M","U","F2,F3,F8","F","U"
"21","Phaethornis idaliae",NA,"Phaethornis idaliae","PHAIDA","PHAEIDAL","M","U","F1","F","U"
"22","Phaethornis koepckeae",NA,"Phaethornis koepckeae","PHAKOE","PHAEKOEP","H","U","F1,F4","F","U"
"23","Phaethornis longuemareus",NA,"Phaethornis longuemareus","PHALON","PHAELONG","M","U","F1,F15","F","U"
"24","Phaethornis malaris",NA,"Phaethornis malaris","PHAMAL","PHAEMALA","H","U","F1","F","U"
"25","Phaethornis nattereri",NA,"Phaethornis nattereri","PHANAT","PHAENATT","M","U","F7","F","U"
"26","Phaethornis philippii",NA,"Phaethornis philippii","PHAPHI","PHAEPHIL","H","U","F1","F","U"
"27","Phaethornis pretrei",NA,"Phaethornis pretrei","PHAPRE","PHAEPRET","L","U","F7,F1,F15","F","U"
"28","Phaethornis ruber",NA,"Phaethornis ruber","PHARUB","PHAERUBE","M","U","F1,F2,F15","F","U"
"29","Phaethornis squalidus",NA,"Phaethornis squalidus","PHASQU","PHAESQUA","M","U","F1,F4,F8,F15","F","U"
"30","Phaethornis stuarti",NA,"Phaethornis stuarti","PHASTU","PHAESTUA","H","U","F1","F","U"
"31","Phaethornis subochraceus",NA,"Phaethornis subochraceus","PHASUB","PHAESUBO","M","U","F7","F","U"
"32","Phaethornis superciliosus","margarattae","Phaethornis superciliosus","PHASUP","PHAESUPE","H","U","F1","F","U"
"33","Phaethornis superciliosus","superciliosus","Phaethornis superciliosus","PHASUP","PHAESUPE","H","U","F1,F4,F7","F","U"
"34","Phaethornis syrmatophorus",NA,"Phaethornis syrmatophorus","PHASYR","PHAESYRM","M","U","F4","F","U"
"35","Phaethornis yaruqui",NA,"Phaethornis yaruqui","PHAYAR","PHAEYARU","H","U","F1,F4","F","U"
"36","Eutoxeres aquila",NA,"Eutoxeres aquila","EUTAQU","EUTOAQUI","M","U","F4,F1","F","U"
"37","Eutoxeres condamini",NA,"Eutoxeres condamini","EUTCON","EUTOCOND","M","U","F4,F1","F","U"
"38","Phaeochroa cuvierii",NA,"Phaeochroa cuvierii","PHACUV","PHAECUVI","L","M/C","F15,N14,F1E","N","C"
"39","Campylopterus curvipennis","curvipennis","Campylopterus curvipennis","CAMCUR","CAMPCURV","M","U/M","F1,F15","F","U"
"40","Campylopterus curvipennis","excellens","Campylopterus curvipennis","CAMCUR","CAMPCURV","M","U/M","F1,F4","F","U"
"41","Campylopterus duidae",NA,"Campylopterus duidae","CAMDUI","CAMPDUID","L","U/M","F4,F5,N3","N","U"
"42","Campylopterus ensipennis",NA,"Campylopterus ensipennis","CAMENS","CAMPENSI","M","U/M","F4","F","U"
"43","Campylopterus falcatus",NA,"Campylopterus falcatus","CAMFAL","CAMPFALC","M","U/M","F4,F15","F","U"
"44","Campylopterus hemileucurus",NA,"Campylopterus hemileucurus","CAMHEM","CAMPHEMI","M","U/M","F4","F","U"
"45","Campylopterus hyperythrus",NA,"Campylopterus hyperythrus","CAMHYP","CAMPHYPE","L","U/M","F4","F","U"
